GeneID,A,B,C,D,E,F,G,H,I
1,ENSMUSG00000000001,1423,1413,1681,2392,1291,1621,1404,1795,1257
2,ENSMUSG00000000003,0,0,0,0,0,0,0,0,0
3,ENSMUSG00000000028,106,125,133,179,151,70,50,149,124
4,ENSMUSG00000000031,46,53,39,249,14,7,4,51,1
5,ENSMUSG00000000037,114,115,90,103,85,87,79,156,167
6,ENSMUSG00000000049,3,5,0,7,6,1,2,2,2
7,ENSMUSG00000000056,536,504,557,837,472,449,390,498,491
8,ENSMUSG00000000058,1802,1826,2143,2228,1523,1769,1536,2845,2059
9,ENSMUSG00000000078,6145,6237,2568,6126,3626,3221,2609,2245,4134
10,ENSMUSG00000000085,199,227,258,292,149,166,118,319,419
11,ENSMUSG00000000088,480,574,537,1032,744,428,341,651,389
12,ENSMUSG00000000093,7,12,4,7,7,7,1,10,16
13,ENSMUSG00000000094,1,0,0,0,0,0,0,0,2
14,ENSMUSG00000000103,0,0,0,0,0,0,0,0,0
15,ENSMUSG00000000120,76,106,56,141,41,15,19,56,20
16,ENSMUSG00000000125,401,471,639,1241,471,139,135,393,76
17,ENSMUSG00000000126,2,1,7,8,5,2,0,8,3
18,ENSMUSG00000000127,441,408,420,636,324,430,383,495,679
19,ENSMUSG00000000131,1192,1276,1106,1503,1105,908,728,1183,1525
20,ENSMUSG00000000134,358,424,348,575,432,347,259,346,423
21,ENSMUSG00000000142,446,463,476,672,427,358,287,517,555
22,ENSMUSG00000000148,95,92,101,171,105,79,63,129,94
23,ENSMUSG00000000149,298,330,373,464,449,299,211,446,266
24,ENSMUSG00000000154,53,42,48,78,45,52,43,59,52
25,ENSMUSG00000000157,0,0,0,0,0,0,0,0,1
26,ENSMUSG00000000159,1,0,0,3,0,6,1,2,5
27,ENSMUSG00000000167,10,18,15,15,16,9,7,13,32
28,ENSMUSG00000000168,391,415,348,693,535,294,262,498,414
29,ENSMUSG00000000171,311,311,349,548,435,198,180,462,240
30,ENSMUSG00000000182,0,0,0,0,0,0,0,0,1
31,ENSMUSG00000000183,0,0,0,0,0,0,0,0,0
32,ENSMUSG00000000184,3043,3233,2195,2205,3372,2078,1856,3786,4517
33,ENSMUSG00000000194,648,655,640,1023,646,629,575,681,877
34,ENSMUSG00000000197,0,0,0,0,0,0,0,0,1
35,ENSMUSG00000000202,0,0,0,0,0,0,0,0,1
36,ENSMUSG00000000204,0,2,0,2,1,4,2,0,1
37,ENSMUSG00000000214,0,0,0,1,0,0,0,0,0
38,ENSMUSG00000000215,0,0,1,1,0,0,0,0,12
