ACE1,ACE2,ACE3,ACE4,ACE5
ENSMUSG00000106106,486005,258758,410983,867309,466845
ENSMUSG00000098178,322722,172551,270908,575900,305042
ENSMUSG00000105361,273746,127355,217581,484196,247620
ENSMUSG00000092341,206421,176449,97520,113331,76834
ENSMUSG00000026131,137643,27822,100673,28552,18620
ENSMUSG00000024597,12990,136349,9706,42071,31655
ENSMUSG00000097971,158886,277726,269880,258122,259735
ENSMUSG00000064339,90439,48120,84914,164220,44573
ENSMUSG00000047730,14532,91806,773,5251,1730
ENSMUSG00000064351,132555,69825,103330,102337,43035
ENSMUSG00000005268,4193,80387,4571,26080,14534
ENSMUSG00000018830,32546,715,76558,14164,743
ENSMUSG00000026185,45223,77034,89942,41926,12424
ENSMUSG00000021250,103922,52739,83336,45044,28271
ENSMUSG00000040152,90532,11319,47509,35058,40525
ENSMUSG00000035783,28636,661,68567,24179,1126
ENSMUSG00000064337,44922,23996,39010,85055,20371
ENSMUSG00000031328,40492,7420,74537,30627,18947
ENSMUSG00000038418,81017,44330,61141,31084,21386
ENSMUSG00000022893,64226,4135,28731,15614,14910
ENSMUSG00000032068,8667,57440,2678,12895,18024
ENSMUSG00000019818,7920,59872,8366,25992,18851
ENSMUSG00000027750,22831,846,52520,14722,1339
ENSMUSG00000049112,21371,325,45480,9146,902
ENSMUSG00000029838,6077,50619,5816,20611,12208
ENSMUSG00000023043,7270,48865,4696,19545,26361
ENSMUSG00000064370,62609,34822,47370,49178,17179
ENSMUSG00000064367,63583,41632,49899,46835,16813
ENSMUSG00000045545,44458,659,32452,21757,13685
ENSMUSG00000003545,62873,60920,39168,32679,25850
ENSMUSG00000032554,13718,42633,3519,9755,3690
ENSMUSG00000064341,57588,29347,39827,40120,13937
ENSMUSG00000049382,7906,45167,6797,18813,28694
ENSMUSG00000069833,58986,85200,54329,41534,56432
ENSMUSG00000090639,13796,42305,3807,10023,4052
ENSMUSG00000064345,51504,24435,36220,36581,10617
ENSMUSG00000037742,120569,103637,99137,132223,130386
ENSMUSG00000032496,6954,36404,1240,5418,5011
ENSMUSG00000086503,66627,48463,48585,34354,31684
ENSMUSG00000076258,25247,15513,19745,48221,25640
ENSMUSG00000030605,10188,35928,7338,7478,8572
ENSMUSG00000021508,27172,405,15352,2350,348
ENSMUSG00000064363,40871,21802,31828,30837,9687
ENSMUSG00000018593,15168,559,29545,15912,2543
ENSMUSG00000032085,13124,684,27973,7637,760
ENSMUSG00000017707,10641,34770,6999,15498,9950
ENSMUSG00000111521,12886,645,27572,7478,672
ENSMUSG00000028132,1554,27422,1106,6919,3043
ENSMUSG00000035557,28090,585,18048,9211,4457
ENSMUSG00000029580,47479,53601,59179,77077,59933
ENSMUSG00000002985,23987,1486,24704,11829,3576
ENSMUSG00000000078,11815,36002,13424,26718,31719
ENSMUSG00000022836,13666,394,26909,7216,1534
ENSMUSG00000032216,33817,21769,50451,39104,42645
ENSMUSG00000034810,23824,284,14036,1357,103
ENSMUSG00000026864,28231,46910,18791,24498,26798
ENSMUSG00000052684,34341,51978,32523,30873,23268
ENSMUSG00000023944,37634,41025,33257,43826,60821
ENSMUSG00000054889,41035,16334,37709,21540,28232
ENSMUSG00000020911,1918,26216,1914,10190,15752
ENSMUSG00000047501,1695,25048,960,6440,7674
ENSMUSG00000002020,15138,2018,23019,4722,856
ENSMUSG00000029761,12581,1160,27245,14222,9882
ENSMUSG00000037876,41745,19551,25198,18617,22959
ENSMUSG00000070047,27644,21663,41328,17123,24192
ENSMUSG00000022037,2725,23598,1133,5244,8820
ENSMUSG00000060802,12707,30545,13638,26261,11143
ENSMUSG00000061527,14562,218,22137,12199,3601
ENSMUSG00000039202,6166,27716,7385,15926,17740
ENSMUSG00000025064,14603,304,22553,12278,4517
ENSMUSG00000040249,19888,1954,20895,7427,5337
ENSMUSG00000102349,29532,22851,14042,14643,7063
ENSMUSG00000000303,5274,22863,7189,12445,23655
ENSMUSG00000022371,7400,81,22089,8993,2291
ENSMUSG00000022895,12581,28434,7454,8812,12421
ENSMUSG00000024421,18293,1371,18378,6789,2259
ENSMUSG00000045394,6107,24172,4366,12590,18272
ENSMUSG00000060126,42841,21915,33795,33419,25076
ENSMUSG00000031502,5888,1090,20874,8188,1460
ENSMUSG00000027820,15354,2323,21052,5222,4918
ENSMUSG00000022283,30231,36644,29334,39438,49132
ENSMUSG00000022462,36311,22808,20330,15607,18968
ENSMUSG00000028763,10793,1279,21866,8703,3967
ENSMUSG00000038679,7040,26109,7451,13424,17811
ENSMUSG00000019997,16327,871,16589,5273,1222
ENSMUSG00000101304,3052,20331,844,3996,6367
ENSMUSG00000053113,18316,2945,18603,7739,3693
ENSMUSG00000035202,12692,9441,16850,28814,12371
ENSMUSG00000027111,14094,9581,29424,17761,13717
ENSMUSG00000001622,3160,20614,1234,7594,8849
ENSMUSG00000020719,51824,48824,34579,37139,41036
ENSMUSG00000058056,13871,959,18862,6977,4034
ENSMUSG00000000787,42480,32021,28481,23889,27202
ENSMUSG00000028967,26369,15010,13501,9523,9211
ENSMUSG00000003617,19687,9821,4666,2945,3931
ENSMUSG00000029287,16576,1351,12199,4330,1673
ENSMUSG00000024042,21330,25699,11421,11075,11789
ENSMUSG00000022587,12016,28729,13127,21257,20406
ENSMUSG00000028464,9823,179,16936,5781,1506
ENSMUSG00000022010,17134,12747,30526,23396,19178
ENSMUSG00000075014,287,1435,128,15658,838
ENSMUSG00000022952,30134,19951,23343,14005,14388
ENSMUSG00000034994,50378,60413,48377,51883,63668
ENSMUSG00000026473,2383,17860,2461,10959,5032
ENSMUSG00000026728,10686,1745,17070,16949,6612
ENSMUSG00000047139,4947,14290,4889,12482,20108
ENSMUSG00000022358,7344,2886,18767,5628,3491
ENSMUSG00000049470,9429,24542,9581,10045,13731
ENSMUSG00000033306,11957,13361,27094,12525,13706
ENSMUSG00000022443,42480,43312,54389,41186,37411
ENSMUSG00000092267,24496,20871,11668,14005,9527
ENSMUSG00000031503,5219,540,15976,4577,611
ENSMUSG00000022892,27161,24697,34550,20394,18784
ENSMUSG00000001911,20356,7831,23902,13548,17310
ENSMUSG00000032366,15283,5448,22122,12880,10081
ENSMUSG00000052837,24281,14091,15278,10610,8000
ENSMUSG00000001349,5724,68,14693,2988,89
ENSMUSG00000040690,11005,1039,14999,5353,1836
ENSMUSG00000026421,13112,5114,20062,8449,7414
ENSMUSG00000001627,13020,20089,6217,8435,6278
ENSMUSG00000024335,21928,13648,10384,7398,8842
ENSMUSG00000052957,7512,107,14042,3141,771
ENSMUSG00000033420,11696,175,12699,4214,1889
ENSMUSG00000052397,5731,17146,5792,10756,17161
ENSMUSG00000032399,30290,23610,27732,34108,38327
ENSMUSG00000026393,3156,17042,3679,8029,5650
ENSMUSG00000049336,11852,163,9861,1618,341
ENSMUSG00000026478,8690,3111,17786,9450,5238
ENSMUSG00000041577,14744,3208,13106,4606,3541
ENSMUSG00000028195,18297,22258,16375,11118,8330
ENSMUSG00000041075,11150,1141,13284,3308,2735
ENSMUSG00000030208,6226,17563,4211,13170,12201
ENSMUSG00000041936,9310,5596,19293,8406,7074
ENSMUSG00000052727,19940,8309,14556,6528,10184
ENSMUSG00000022636,1127,13943,1495,5889,8611
ENSMUSG00000064368,20270,14612,15278,16354,5792
ENSMUSG00000022565,17097,27145,23085,14592,16156
ENSMUSG00000026822,7211,16916,5222,5077,3984
ENSMUSG00000029304,2390,13718,1035,7137,2561
ENSMUSG00000013236,11046,1605,15893,8486,9772
ENSMUSG00000026483,9533,228,11810,2698,1581
ENSMUSG00000031004,216,536,1317,7405,11782
ENSMUSG00000042410,2022,14054,2060,3424,3264
ENSMUSG00000041417,13001,8255,19489,7521,7968
ENSMUSG00000023034,20642,9757,13049,9965,7848
ENSMUSG00000022510,9340,181,11546,3184,1343
ENSMUSG00000031375,9270,538,11638,4243,782
ENSMUSG00000020439,10593,1931,13323,4714,2980
ENSMUSG00000019966,16744,9232,18250,10756,6740
ENSMUSG00000018339,472,7952,2140,12815,4599
ENSMUSG00000015656,25214,13512,19843,21351,25470
ENSMUSG00000021127,19464,9977,20746,13185,11412
ENSMUSG00000073418,13347,4147,5504,1814,1297
ENSMUSG00000028063,19089,24447,12532,13229,17442
ENSMUSG00000075254,11284,3255,11662,3235,1687
ENSMUSG00000028262,12860,19496,7477,8558,12847
ENSMUSG00000024659,3416,12394,2723,7869,12620
ENSMUSG00000015932,13863,9333,21198,11691,10585
ENSMUSG00000012350,814,5678,336,2111,11537
ENSMUSG00000027660,15246,21127,9198,10980,13830
ENSMUSG00000031596,2111,13490,4009,8167,4031
ENSMUSG00000026234,30287,22137,20901,23186,30238
ENSMUSG00000026639,10232,934,10122,3460,1737
ENSMUSG00000026238,17115,14346,14223,23157,23325
ENSMUSG00000005672,1840,11664,399,1552,3661
ENSMUSG00000054263,12209,5104,14785,7122,4535
ENSMUSG00000024190,17925,8896,15260,9958,7326
ENSMUSG00000028465,11663,5803,16788,8108,6658
ENSMUSG00000050953,11782,1420,11682,10777,11118
ENSMUSG00000054693,2085,13092,3855,7042,9889
ENSMUSG00000001985,9608,727,7451,871,253
ENSMUSG00000062825,16141,25145,16505,22918,24589
ENSMUSG00000047126,10169,18347,11352,13511,20211
ENSMUSG00000028211,1658,10878,2506,8304,10390
ENSMUSG00000038894,15216,6173,13085,6818,6182
ENSMUSG00000021614,2673,179,11495,6332,3686
ENSMUSG00000039952,8571,7283,17748,10313,7908
ENSMUSG00000019970,15331,20479,11599,22337,18500
ENSMUSG00000070348,424,3969,975,4526,11086
ENSMUSG00000030096,10686,1753,10182,4903,2383
ENSMUSG00000032796,4535,257,11219,4417,1715
ENSMUSG00000070702,900,7519,996,10444,3523
ENSMUSG00000019960,17505,5791,11596,10567,11523
ENSMUSG00000028364,216,323,6818,9798,4393
ENSMUSG00000030849,5546,14153,5864,5708,3491
ENSMUSG00000029090,5653,1145,12095,4446,3565
ENSMUSG00000022708,17665,8590,15346,8478,11420
ENSMUSG00000028382,4334,14001,4378,8442,10138
ENSMUSG00000026604,8270,1285,11162,4577,2568
ENSMUSG00000020473,8593,257,8024,2191,554
ENSMUSG00000057113,12083,8407,11997,16826,18336
ENSMUSG00000026748,8311,790,9474,2684,1744
ENSMUSG00000096992,9500,1281,8292,2466,1360
ENSMUSG00000022533,6177,15412,6098,7311,6772
ENSMUSG00000002900,6345,1117,11474,5984,3239
ENSMUSG00000073411,9403,15975,7846,13250,6651
ENSMUSG00000007850,17138,8828,8901,8101,8142
ENSMUSG00000025650,4880,187,10081,3090,1321
ENSMUSG00000021270,20761,12101,12069,13533,17736
ENSMUSG00000098462,14328,12316,6936,7615,5227
ENSMUSG00000020044,11258,2223,9739,6063,3704
ENSMUSG00000048490,6523,15189,7284,9965,13756
ENSMUSG00000013076,9582,3048,12125,4925,5021
ENSMUSG00000022346,12837,5067,8892,5099,3604
ENSMUSG00000070733,13261,4613,11780,6593,6481
ENSMUSG00000020427,5861,296,10211,4388,2493
ENSMUSG00000074272,1197,9353,473,2125,5912
ENSMUSG00000020846,8515,764,9067,4947,1982
ENSMUSG00000015837,8058,13812,4179,5831,6150
ENSMUSG00000006932,9362,12907,11412,13142,19327
ENSMUSG00000030717,651,9228,289,2017,1421
ENSMUSG00000001525,5624,2968,7953,10668,12002
ENSMUSG00000018707,15651,21111,18702,12953,21472
ENSMUSG00000043716,23448,13993,21406,19582,17562
ENSMUSG00000026479,8697,4710,12954,7441,3778
ENSMUSG00000071076,8746,15577,5914,8101,9101
ENSMUSG00000098973,5958,3735,4711,12743,5295
ENSMUSG00000031207,11626,2572,10901,7376,7652
ENSMUSG00000015143,9686,4035,13733,8101,7017
ENSMUSG00000032332,5230,370,9186,2778,1346
ENSMUSG00000027204,4367,263,9225,3583,1073
ENSMUSG00000046434,8593,7348,6963,11887,15276
ENSMUSG00000021025,7935,16014,7219,9806,8934
ENSMUSG00000025608,941,9052,509,2205,1733
ENSMUSG00000059005,8017,9023,8042,12424,16085
ENSMUSG00000037820,1844,10917,3008,5403,5398
ENSMUSG00000035451,376,8676,452,3641,5177
ENSMUSG00000020140,8013,146,7192,1915,2397
ENSMUSG00000031488,1190,9378,833,2611,4016
ENSMUSG00000022231,4416,423,9037,4772,1130
ENSMUSG00000026773,1443,9372,1154,3075,1946
ENSMUSG00000039835,11310,4143,12128,6578,6697
ENSMUSG00000042793,4583,2284,10155,3540,1616
ENSMUSG00000029378,342,8578,589,4207,2216
ENSMUSG00000049313,3654,11844,4907,3895,5962
ENSMUSG00000097417,13886,6891,14122,9363,8039
ENSMUSG00000033295,5137,11637,8812,8841,14004
ENSMUSG00000026821,7211,13469,4818,6462,9030
ENSMUSG00000040225,14019,17062,16556,14766,22427
ENSMUSG00000027087,9842,14577,13189,7833,7031
ENSMUSG00000007655,3156,1585,8298,8275,2376
ENSMUSG00000020048,9927,16681,13450,17623,17300
ENSMUSG00000025393,6248,9000,6892,11568,14097
ENSMUSG00000050808,1807,8159,1549,2742,7709
ENSMUSG00000026628,20494,19953,14396,14810,13806
ENSMUSG00000061048,6980,99,7531,2771,1968
ENSMUSG00000031870,1045,9037,1581,3424,2220
ENSMUSG00000031075,7017,13912,9076,5280,8689
ENSMUSG00000037868,7753,569,5819,1741,1083
ENSMUSG00000005610,33475,28680,28835,29234,35600
ENSMUSG00000020303,547,8147,455,2981,1783
ENSMUSG00000105682,5557,85,7896,4279,1343
ENSMUSG00000020368,8857,11458,12205,14773,17062
ENSMUSG00000063450,12154,4162,9043,5723,9161
ENSMUSG00000028081,15800,8596,11115,8522,8714
ENSMUSG00000020849,7277,9819,8024,11727,15048
ENSMUSG00000018340,7828,2557,11246,6832,6264
ENSMUSG00000022602,8396,1047,6223,2800,1914
ENSMUSG00000035673,8091,12347,3944,6259,8295
ENSMUSG00000067818,3278,124,7632,2379,143
ENSMUSG00000027184,4888,6325,7792,9588,12812
ENSMUSG00000026434,3011,5662,4054,7144,10798
ENSMUSG00000050931,1305,8534,999,2742,3484
ENSMUSG00000030536,10879,15452,10045,12192,17083
ENSMUSG00000008575,18710,17546,24279,23106,23172
ENSMUSG00000040128,12139,17809,10788,10197,12417
ENSMUSG00000076609,465,6881,131,30,8
ENSMUSG00000064246,9203,4291,4327,2104,1581
ENSMUSG00000027763,12351,6519,10595,7383,5128
ENSMUSG00000018166,889,7026,645,3104,6353
ENSMUSG00000031320,22816,15031,16592,17224,16788
ENSMUSG00000109564,346,6920,119,465,171
ENSMUSG00000016559,16929,16282,11691,18515,19295
ENSMUSG00000018476,9314,11707,4737,5534,5859
ENSMUSG00000003032,12886,9936,8054,6208,5639
ENSMUSG00000021823,9808,7675,14776,8283,7986
ENSMUSG00000022961,19832,18622,16330,12148,17477
ENSMUSG00000025809,12083,10356,17920,13961,11647
ENSMUSG00000061232,6616,12585,7038,10647,5760
ENSMUSG00000021553,565,6936,113,595,363
ENSMUSG00000058297,6776,142,3873,762,157
ENSMUSG00000080058,6486,11947,4535,5200,7020
ENSMUSG00000020315,20891,15525,21174,15919,15712
ENSMUSG00000011179,4349,2496,6060,10241,6992
ENSMUSG00000025261,18936,20659,17349,14940,22476
ENSMUSG00000087400,5824,349,6556,2299,572
ENSMUSG00000067274,17910,16174,15486,20300,22448
ENSMUSG00000020361,4026,10849,4761,6955,9236
ENSMUSG00000061436,1454,8676,1941,3431,3125
ENSMUSG00000025492,6687,2766,10452,7826,5117
ENSMUSG00000017677,11526,5898,6247,4526,4677
ENSMUSG00000076431,12012,6082,13587,10538,11881
ENSMUSG00000039953,8898,3536,9908,5121,4357
ENSMUSG00000006445,8314,9509,3055,3699,5028
ENSMUSG00000019768,788,7572,720,1973,1826
ENSMUSG00000035247,6958,12486,7822,8246,13088
ENSMUSG00000022865,6099,11436,6583,7485,12179
ENSMUSG00000039218,21244,21654,17061,14911,18642
ENSMUSG00000030744,15372,7878,10734,10937,9183
ENSMUSG00000019577,7021,11856,4045,6687,6931
ENSMUSG00000020372,20980,13732,17109,19386,19487
ENSMUSG00000032518,14960,8799,10547,11988,15368
ENSMUSG00000032231,4052,10158,3721,5839,8593
ENSMUSG00000074129,15075,7408,11938,11967,10120
ENSMUSG00000001847,3840,10777,4919,7688,8593
ENSMUSG00000020914,108,327,538,4867,5866
ENSMUSG00000089989,14874,7281,11712,11575,9832
ENSMUSG00000066842,3762,70,7290,2930,1144
ENSMUSG00000024810,101,35,547,1915,6619
ENSMUSG00000024576,10990,13436,12592,14672,18351
ENSMUSG00000061353,6579,329,4850,2009,455
ENSMUSG00000017009,11752,16960,9561,13533,14150
ENSMUSG00000055320,6252,2898,10500,5483,5639
ENSMUSG00000041773,6724,362,6042,2408,2021
ENSMUSG00000005871,4267,11050,4990,5063,6548
ENSMUSG00000048285,6880,2169,7846,2626,2493
ENSMUSG00000020122,7679,2348,6396,2046,2032
ENSMUSG00000037405,10332,3678,7685,5063,4549
ENSMUSG00000026303,424,6934,318,1741,1666
ENSMUSG00000044786,14380,11302,13548,11561,7368
ENSMUSG00000092274,12362,15917,11073,8950,14274
ENSMUSG00000024740,6103,10605,7873,9864,13216
ENSMUSG00000031586,6192,856,6734,2553,1634
