p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,5.19417881228885,0.989,0.377,0,0,Dcn
0,5.17517112842722,0.986,0.214,0,0,Col3a1
0,5.15963923425683,0.991,0.221,0,0,Col1a2
0,4.97533234651046,0.827,0.133,0,0,Mmp3
0,4.87699924597613,0.954,0.137,0,0,Tnfaip6
0,4.81550179831912,0.988,0.174,0,0,Col1a1
0,4.68635431710584,0.938,0.207,0,0,Postn
0,4.31579033026218,0.981,0.093,0,0,Lum
0,4.20892518843191,0.803,0.109,0,0,Mgp
0,4.20600369034168,0.95,0.061,0,0,Apod
0,4.20423539507549,0.995,0.566,0,0,Gsn
0,4.01895027239607,0.98,0.078,0,0,Serpinf1
0,3.94882509798633,0.956,0.062,0,0,Ccdc80
0,3.85752120819936,0.994,0.243,0,0,Sparc
0,3.78504205468667,0.964,0.198,0,0,Lpl
0,3.7313412493924,0.97,0.09,0,0,Bgn
0,3.58775942848927,0.979,0.06,0,0,Rarres2
0,3.53040333605806,0.966,0.059,0,0,Mfap5
0,3.49716959499152,0.971,0.085,0,0,Col5a2
0,3.44798876110451,0.969,0.085,0,0,Col6a1
0,3.40820266454766,0.976,0.095,0,0,Mmp2
0,3.37499375570865,0.97,0.062,0,0,Igfbp6
0,3.31758745576338,0.982,0.195,0,0,Col4a1
0,3.24906033529068,0.804,0.187,0,0,Fgl2
0,3.24830855230883,0.932,0.1,0,0,Sparcl1
0,3.19546975881856,0.952,0.052,0,0,Lama2
0,3.15078987443262,0.975,0.146,0,0,Rnase4
0,3.12947678742006,0.935,0.056,0,0,Col6a2
0,3.11882683875263,0.959,0.114,0,0,Itm2a
0,3.08048827611834,0.653,0.133,0,0,Il6
0,3.07226256420411,0.972,0.062,0,0,Serping1
0,3.06527680239676,0.664,0.031,0,0,Mfap4
0,3.05438788838725,0.926,0.042,0,0,Dpep1
0,3.03560079430281,0.969,0.105,0,0,Nid1
0,2.91196952944328,0.944,0.116,0,0,Aebp1
0,2.87026694559808,0.859,0.036,0,0,Lox
0,2.83985735162112,0.918,0.045,0,0,Pdgfra
0,2.80991485001156,0.932,0.157,0,0,Plpp3
0,2.79296668030438,0.979,0.185,0,0,Igfbp7
0,2.76802001440955,0.773,0.066,0,0,Gas1
0,2.7672217288539,0.966,0.168,0,0,Lrp1
0,2.76012376620665,0.814,0.069,0,0,Has1
0,2.75912957497233,0.864,0.205,0,0,Ugdh
0,2.75002684666812,0.938,0.112,0,0,Col4a2
0,2.73922653443762,0.868,0.051,0,0,Adamts5
0,2.7382135880507,0.778,0.055,0,0,Dpt
0,2.73564955300111,0.713,0.062,0,0,Clec3b
0,2.73032473015695,0.807,0.049,0,0,Thbs2
0,2.68711007382094,0.952,0.067,0,0,C1s1
0,2.6646930761804,0.876,0.036,0,0,Col15a1
0,5.22576259088711,0.996,0.359,0,1,Wfdc18
0,4.62530524891529,0.911,0.358,0,1,Csn3
0,4.18148885008783,0.999,0.353,0,1,Plet1
0,3.3707793259963,0.996,0.609,0,1,Dbi
0,3.28360657078329,0.991,0.327,0,1,Trf
0,3.12711970916468,0.996,0.161,0,1,Lcn2
0,2.87480525599168,0.993,0.218,0,1,Fxyd3
